,importance
Total_Trans_Ct,0.26864612
Total_Revolving_Bal,0.15587689
Total_Relationship_Count,0.124612354
Avg_Transaction_Value,0.06055646
Total_Trans_Amt,0.050857134
Total_Ct_Chng_Q4_Q1,0.045168083
Months_Inactive_12_mon,0.04049407
Gender,0.037556108
Total_Amt_Chng_Q4_Q1,0.033229847
Customer_Age,0.027124293
Contacts_Count_12_mon,0.02703164
Avg_Open_To_Buy,0.022678468
Credit_Limit,0.020008914
Card_Category,0.013068271
Months_on_book,0.012257363
Avg_Utilization_Ratio,0.011807381
Utilization_Ratio,0.011058761
Marital_Status,0.011031237
Dependent_count,0.010422856
Education_Level,0.008688414
Income_Category,0.007825385
Inactivity_Ratio,0.0
